PERF {asctime} GET /static/js/main.js 404 0.00s User: IP:127.0.0.1
PERF {asctime} GET /favicon.ico 302 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/ 200 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/staff/ 200 0.01s User: IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.00s User: IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.00s User: IP:127.0.0.1
PERF {asctime} GET /favicon.ico 302 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/ 200 0.00s User: IP:127.0.0.1
PERF {asctime} POST /accounts/login/staff/ 302 3.61s User:thembinkosi IP:127.0.0.1
PERF {asctime} POST /accounts/login/staff/ 302 3.61s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET / 200 0.55s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.11s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.13s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.09s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /stores/ 200 0.14s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.26s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/store_management/css/store_management.css 404 0.36s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.43s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.10s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.11s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /hr/attendance/ 200 0.14s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.13s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/human_resources/css/hr.css 404 0.19s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.26s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.16s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.12s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /inventory/ 200 0.15s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.18s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.33s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.11s User:thembinkosi IP:127.0.0.1
